date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:38:18	368/368	---MCZ	200	added ('OK')	text/plain	date:Tue,%2007%20Aug%202018%2004:38:17%20GMT	https://thepuppetshow.co.za/robots.txt		(from )
06:38:18	53318/53318	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Aug%202018%2004:38:17%20GMT	https://thepuppetshow.co.za/	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/index.html	(from )
06:38:19	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2007%20Aug%202018%2004:38:19%20GMT	https://thepuppetshow.co.za/xmlrpc.php	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/xmlrpc.php	(from https://thepuppetshow.co.za/)
06:38:20	12405/12405	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573b08bd-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/Development/ILS/ThePuppetShow/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://thepuppetshow.co.za/)
06:38:22	28902/28902	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2007%20Aug%202018%2004:38:21%20GMT	https://thepuppetshow.co.za/feed/	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/feed/index.html	(from https://thepuppetshow.co.za/)
06:38:22	23628/23628	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Aug%202018%2004:38:21%20GMT	https://thepuppetshow.co.za/wordpress_test_cookie=test;%20path=/	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/wordpress_test_cookie=test;%20path=/index.html	(from https://thepuppetshow.co.za/)
06:38:22	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/Development/ILS/ThePuppetShow/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://thepuppetshow.co.za/)
06:38:22	19402/19402	---MCZ	200	added ('OK')	text/css	etag:W/%225b33f7b7-5e1f%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1530132353h&cssminify=yes	C:/Development/ILS/ThePuppetShow/s0.wp.com/wp-content/mu-plugins/highlander-comments/style6f5b.css	(from https://thepuppetshow.co.za/)
06:38:23	894/894	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22518001d7c790fd1dda9a0df977104964%22	https://thepuppetshow.co.za/home/feed/	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/home/feed/index.html	(from https://thepuppetshow.co.za/)
06:38:23	920/920	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22518001d7c790fd1dda9a0df977104964%22	https://thepuppetshow.co.za/comments/feed/	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/comments/feed/index.html	(from https://thepuppetshow.co.za/)
06:38:25	1497/1497	---MCZ	200	added ('OK')	application/xml	date:Tue,%2007%20Aug%202018%2004:38:24%20GMT	https://thepuppetshow.co.za/osd.xml	C:/Development/ILS/ThePuppetShow/thepuppetshow.co.za/osd.xml	(from https://thepuppetshow.co.za/)
06:38:26	936/936	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jul%202018%2020:12:30%20GMT	https://thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x512.png?w=32	C:/Development/ILS/ThePuppetShow/thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x51276ca.png	(from https://thepuppetshow.co.za/)
06:38:27	12523/12523	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jul%202018%2020:12:30%20GMT	https://thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x512.png?w=192	C:/Development/ILS/ThePuppetShow/thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x5129939.png	(from https://thepuppetshow.co.za/)
06:38:30	11561/11561	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Jul%202018%2020:12:30%20GMT	https://thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x512.png?w=180	C:/Development/ILS/ThePuppetShow/thepuppetshowza.files.wordpress.com/2018/07/cropped-favicon-512x512ad83.png	(from https://thepuppetshow.co.za/)
